,시군구명,노선수,소계,은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝,기타
0,소계,1482,305086,106205,59776,37789,35583.0,366.0,5148.0,7575.0,59.0,907.0,32.0,953.0,1587.0,7.0,475.0,222.0,2222.0,4606.0,383.0,21157,20034.0
1,종로구,62,7435,4075,1067,698,422.0,,1.0,144.0,1.0,,8.0,,13.0,,,,,267.0,,710,29.0
2,중구,48,8300,3629,162,459,305.0,,,174.0,,,,7.0,,,,23.0,46.0,2217.0,,461,817.0
3,용산구,39,7821,4378,1365,471,261.0,,,41.0,,75.0,,12.0,16.0,,,42.0,,51.0,126.0,202,781.0
4,성동구,38,7927,1037,2102,1906,602.0,29.0,48.0,294.0,32.0,146.0,,,1.0,3.0,59.0,,,53.0,,946,669.0
5,광진구,28,7238,1244,2318,1062,931.0,,,153.0,,25.0,,58.0,101.0,,,,,20.0,113.0,770,443.0
6,동대문구,43,10676,3869,3215,849,747.0,,62.0,143.0,7.0,38.0,7.0,37.0,19.0,,1.0,26.0,1.0,,,1199,456.0
7,중랑구,59,8270,2765,2483,348,461.0,,74.0,,,52.0,,,,,,,212.0,64.0,,659,1152.0
8,성북구,80,8485,2533,1188,1000,1757.0,8.0,65.0,38.0,,90.0,,4.0,,,,9.0,5.0,90.0,,1038,660.0
9,강북구,31,7346,3067,878,322,496.0,271.0,,95.0,,,,5.0,,,140.0,,,1015.0,,643,414.0
10,도봉구,63,9449,4811,292,778,2092.0,6.0,61.0,32.0,,,1.0,12.0,,,,,216.0,15.0,,47,1086.0
11,노원구,100,13276,6104,2714,1130,1913.0,,292.0,133.0,1.0,6.0,,,,,,41.0,,10.0,6.0,122,804.0
12,은평구,36,10191,4297,1722,512,2469.0,,43.0,157.0,,,,,16.0,,,,,11.0,,488,476.0
13,서대문구,42,8667,3449,1855,765,780.0,,25.0,80.0,,3.0,,10.0,5.0,4.0,,,70.0,,,501,1120.0
14,마포구,94,14558,3333,3535,3065,1190.0,,474.0,960.0,,101.0,,,,,,64.0,,124.0,93.0,1272,347.0
15,양천구,69,13509,5622,3992,1065,956.0,,74.0,176.0,,24.0,,,4.0,,,,197.0,,,804,595.0
16,강서구,61,14408,4082,673,2429,2778.0,,1641.0,185.0,,,,,176.0,,,,58.0,282.0,,1537,567.0
17,구로구,81,11692,3584,1283,1921,2295.0,11.0,3.0,,,,5.0,,17.0,,,,,30.0,26.0,1278,1239.0
18,금천구,30,6495,3517,1013,409,1051.0,,36.0,172.0,,27.0,,,7.0,,,,,5.0,,189,69.0
19,영등포구,116,17614,5884,3146,3692,2521.0,41.0,54.0,126.0,7.0,56.0,,21.0,168.0,,,,,40.0,19.0,1192,647.0
20,동작구,29,7226,2223,823,1436,1145.0,,116.0,,,45.0,,,,,,,206.0,7.0,,397,828.0
21,관악구,32,10126,2161,2136,191,2556.0,,94.0,150.0,,219.0,,,,,,,1120.0,59.0,,254,1186.0
22,서초구,56,16099,3476,5025,3379,232.0,,1107.0,477.0,11.0,,,,712.0,,,,91.0,,,449,1140.0
23,강남구,61,23479,7194,7489,3031,2464.0,,864.0,523.0,,,,65.0,,,,,,,,936,913.0
24,송파구,107,23358,11788,3978,2595,992.0,,14.0,,,,11.0,722.0,329.0,,,,,212.0,,2085,632.0
25,강동구,67,17028,5455,4190,2416,2323.0,,,55.0,,,,,,,,,,,,642,1947.0
26,공원녹지사업소,1,235,179,26,23,,,,,,,,,3.0,,,,,,,4,
27,시설관리공단,9,14178,2449,1106,1837,1844.0,,,3267.0,,,,,,,275.0,17.0,,34.0,,2332,10.0
