,구,오염물질,월,평균값
0,강남구,CO,01,0.5632432432432433
1,강남구,CO,02,0.5757121439280359
2,강남구,CO,03,0.5683355886332883
3,강남구,CO,04,0.42905027932960893
4,강남구,CO,05,0.42027027027027025
5,강남구,CO,06,0.41078431372549024
6,강남구,CO,07,0.3124661246612466
7,강남구,CO,08,0.3423913043478261
8,강남구,CO,09,0.32249637155297534
9,강남구,CO,10,0.3882113821138211
10,강남구,CO,11,0.5161064425770309
11,강남구,CO,12,0.5264305177111717
12,강남구,NO2,01,0.03042162162162162
13,강남구,NO2,02,0.02898950524737631
14,강남구,NO2,03,0.032859269282814615
15,강남구,NO2,04,0.02340782122905028
16,강남구,NO2,05,0.019952702702702704
17,강남구,NO2,06,0.019666666666666666
18,강남구,NO2,07,0.017199186991869918
19,강남구,NO2,08,0.015591032608695652
20,강남구,NO2,09,0.01506821480406386
21,강남구,NO2,10,0.02279810298102981
22,강남구,NO2,11,0.03078151260504202
23,강남구,NO2,12,0.029031420765027325
24,강남구,O3,01,0.014154054054054054
25,강남구,O3,02,0.02190104947526237
26,강남구,O3,03,0.02469824086603518
27,강남구,O3,04,0.037529329608938546
28,강남구,O3,05,0.03597432432432432
29,강남구,O3,06,0.04095378151260504
30,강남구,O3,07,0.03709078590785908
31,강남구,O3,08,0.03279483695652174
32,강남구,O3,09,0.029921511627906974
33,강남구,O3,10,0.021588483146067417
34,강남구,O3,11,0.018484550561797753
35,강남구,O3,12,0.014209016393442622
36,강남구,PM10,01,0.03332551724137931
37,강남구,PM10,02,0.045838080959520244
38,강남구,PM10,03,0.06444986449864498
39,강남구,PM10,04,0.039955244755244756
40,강남구,PM10,05,0.059555555555555556
41,강남구,PM10,06,0.03376858345021038
42,강남구,PM10,07,0.026094979647218453
43,강남구,PM10,08,0.02215006821282401
44,강남구,PM10,09,0.014247093023255813
45,강남구,PM10,10,0.025589430894308946
46,강남구,PM10,11,0.042172268907563024
47,강남구,PM10,12,0.03582103825136612
48,강남구,PM2.5,01,0.021833558863328825
49,강남구,PM2.5,02,0.031280359820089955
50,강남구,PM2.5,03,0.033587044534412955
51,강남구,PM2.5,04,0.019525210084033615
52,강남구,PM2.5,05,0.01949728260869565
53,강남구,PM2.5,06,0.021131652661064426
54,강남구,PM2.5,07,0.015831521739130435
55,강남구,PM2.5,08,0.013846049046321526
56,강남구,PM2.5,09,0.0069448476052249635
57,강남구,PM2.5,10,0.012911924119241192
58,강남구,PM2.5,11,0.023715287517531554
59,강남구,PM2.5,12,0.02005054644808743
60,강남구,SO2,01,0.003654054054054054
61,강남구,SO2,02,0.0036191904047976012
62,강남구,SO2,03,0.003638700947225981
63,강남구,SO2,04,0.003490223463687151
64,강남구,SO2,05,0.003202702702702703
65,강남구,SO2,06,0.0034005602240896357
66,강남구,SO2,07,0.003181571815718157
67,강남구,SO2,08,0.0030842391304347827
68,강남구,SO2,09,0.002981132075471698
69,강남구,SO2,10,0.003214092140921409
70,강남구,SO2,11,0.003603641456582633
71,강남구,SO2,12,0.0034986338797814206
72,강동구,CO,01,0.5449118046132971
73,강동구,CO,02,0.5588323353293413
74,강동구,CO,03,0.48663967611336034
75,강동구,CO,04,0.34540389972144847
76,강동구,CO,05,0.3334231805929919
77,강동구,CO,06,0.36047486033519555
78,강동구,CO,07,0.2706919945725916
