,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
10,가양대교,C-03,11,1270.0,966.0,742.0,686.0,905.0,1907.0,2774.0,2860.0,3072.0,3131.0,3067.0,2989.0,2979.0,3043.0,3072.0,3127.0,3247.0,3020.0,2902.0,2801.0,2665.0,2554.0,2293.0,1657.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2405.375
22,강남대로(강남역-신분당),D-35,11,567.0,427.0,342.0,255.0,213.0,324.0,731.0,1180.0,1355.0,1374.0,1368.0,1449.0,1465.0,1533.0,1537.0,1577.0,1632.0,1669.0,1680.0,1500.0,1255.0,1127.0,1003.0,763.0,37.49059,127.03116,서울시 강남구 역삼동 858,1096.9166666666667
34,강남대로(신사역),D-43,11,906.0,737.0,644.0,512.0,428.0,563.0,993.0,1455.0,1556.0,1645.0,1627.0,1611.0,1630.0,1602.0,1739.0,1746.0,1806.0,1911.0,1980.0,1888.0,1732.0,1681.0,1534.0,1193.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1379.9583333333333
46,강남순환로,F-08,11,569.0,355.0,244.0,196.0,264.0,854.0,2037.0,2727.0,2741.0,2554.0,2405.0,2228.0,2273.0,2404.0,2444.0,2519.0,2844.0,2990.0,2816.0,2371.0,1840.0,1593.0,1308.0,884.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1810.8333333333333
58,강변북로,F-02,11,3146.0,2150.0,1571.0,1357.0,1793.0,3903.0,5714.0,6058.0,6280.0,6340.0,6139.0,6126.0,6219.0,6196.0,6098.0,6034.0,5680.0,4887.0,4503.0,4965.0,5749.0,5982.0,5394.0,4274.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4856.583333333333
70,강변북로(구리시계),B-37,11,1005.0,690.0,505.0,446.0,622.0,1669.0,3358.0,3491.0,3889.0,3929.0,3989.0,3989.0,3900.0,3995.0,3995.0,4142.0,4314.0,4206.0,4012.0,3567.0,3015.0,2550.0,2091.0,1487.0,37.558389,127.114274,경기도 구리시 아천동 390,2869.0
82,강변북로(난지한강공원),B-36,11,2641.0,1818.0,1392.0,1317.0,1892.0,4382.0,5725.0,5639.0,5799.0,6037.0,6315.0,6421.0,6675.0,6706.0,6501.0,6481.0,6235.0,5945.0,6018.0,6139.0,5998.0,5763.0,4996.0,3678.0,37.570903,126.872321,서울시 마포구 상암동 481-226,5021.375
94,강서로(화곡터널),D-20,11,520.0,412.0,319.0,258.0,281.0,468.0,704.0,929.0,973.0,1031.0,973.0,963.0,948.0,974.0,983.0,991.0,975.0,1000.0,994.0,949.0,894.0,844.0,742.0,604.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,780.375
106,개봉로(개봉교),B-21,11,236.0,180.0,133.0,106.0,175.0,374.0,522.0,601.0,632.0,643.0,639.0,644.0,619.0,640.0,652.0,682.0,722.0,724.0,711.0,601.0,509.0,466.0,382.0,312.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,496.0416666666667
118,경부고속도로,F-06,11,2617.0,1836.0,1386.0,1241.0,1706.0,3789.0,5426.0,4946.0,4957.0,4876.0,4802.0,4782.0,4720.0,4768.0,4791.0,4795.0,4675.0,4311.0,4239.0,4530.0,4583.0,5425.0,4960.0,3827.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,4082.8333333333335
130,경부고속도로(양재IC),B-11,11,2274.0,1544.0,1140.0,1000.0,1376.0,3347.0,5483.0,4957.0,4988.0,4801.0,4689.0,4567.0,4498.0,4516.0,4547.0,4649.0,4752.0,4682.0,4536.0,4658.0,4707.0,5156.0,4597.0,3425.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3953.7083333333335
142,경인고속국도(신월IC),B-28,11,2202.0,1556.0,1139.0,983.0,1262.0,3011.0,4345.0,4823.0,4658.0,4709.0,4793.0,4700.0,4750.0,4931.0,4924.0,5075.0,5242.0,5134.0,4905.0,4717.0,4428.0,4121.0,3714.0,2900.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3875.9166666666665
154,경인로(거리공원입구교차로),D-23,11,430.0,348.0,249.0,197.0,278.0,611.0,883.0,1098.0,1193.0,1194.0,1173.0,1167.0,1178.0,1198.0,1202.0,1210.0,1241.0,1305.0,1259.0,1209.0,1094.0,1044.0,851.0,643.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,927.2916666666666
166,경인로(서울교),D-28,11,722.0,567.0,414.0,314.0,384.0,799.0,1557.0,2485.0,2735.0,2657.0,2556.0,2515.0,2372.0,2486.0,2530.0,2545.0,2637.0,2776.0,2697.0,2383.0,2036.0,1858.0,1530.0,1039.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1858.0833333333333
178,경인로(오류IC),D-22,11,,,,,,,,,,,,,,,,,,,,,,,,,37.498246,126.851219,서울시 구로구 개봉동 80-22,
190,경인로(유한공고),B-29,11,369.0,276.0,200.0,152.0,232.0,461.0,639.0,851.0,933.0,878.0,818.0,790.0,813.0,818.0,827.0,842.0,946.0,981.0,968.0,840.0,718.0,655.0,570.0,438.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,667.2916666666666
202,경춘북로(중랑경찰서),B-05,11,330.0,228.0,161.0,147.0,240.0,546.0,980.0,1382.0,1520.0,1390.0,1261.0,1216.0,1239.0,1269.0,1285.0,1360.0,1542.0,1653.0,1596.0,1271.0,973.0,844.0,663.0,457.0,37.619942,127.105325,서울시 중랑구 신내동 271-1,981.375
214,공항대로(발산역),D-21,11,462.0,342.0,263.0,224.0,308.0,533.0,815.0,1281.0,1487.0,1450.0,1446.0,1446.0,1443.0,1465.0,1507.0,1498.0,1533.0,1528.0,1493.0,1288.0,1072.0,949.0,806.0,596.0,37.559251,126.831069,서울시 강서구 마곡동 727-1154,1051.4583333333333
226,과천대로(남태령역),B-15,11,600.0,372.0,248.0,191.0,279.0,748.0,1546.0,1921.0,1962.0,1868.0,1824.0,1757.0,1736.0,1771.0,1754.0,1719.0,1792.0,1764.0,1724.0,1550.0,1468.0,1356.0,1147.0,865.0,37.463288,126.988151,서울시 서초구 방배동 산190-1 ,1331.75
238,광명대교(광명시계),B-22,11,193.0,138.0,95.0,87.0,143.0,321.0,482.0,771.0,744.0,782.0,778.0,710.0,657.0,676.0,688.0,718.0,754.0,823.0,825.0,697.0,516.0,431.0,356.0,259.0,37.485044,126.873297,서울시 금천구 가산동 535-121,526.8333333333334
250,광진교,C-21,11,99.0,75.0,61.0,53.0,59.0,131.0,223.0,397.0,571.0,483.0,460.0,421.0,388.0,399.0,424.0,462.0,533.0,690.0,752.0,480.0,294.0,243.0,195.0,125.0,37.54412,127.115274,서울시 강동구 천호동 484-9,334.0833333333333
262,국회대로(여의2교),D-27,11,514.0,380.0,231.0,191.0,239.0,372.0,746.0,1277.0,1583.0,1460.0,1386.0,1415.0,1351.0,1458.0,1527.0,1550.0,1594.0,1552.0,1506.0,1337.0,1208.0,1152.0,1011.0,728.0,37.526003,126.910953,서울시 영등포구 영등포동7가 94-411,1073.6666666666667
274,금오로(광명시계),B-19,11,47.0,31.0,22.0,22.0,43.0,118.0,206.0,299.0,313.0,323.0,277.0,267.0,262.0,284.0,289.0,313.0,340.0,372.0,334.0,264.0,180.0,128.0,97.0,69.0,37.482431,126.841891,서울시 구로구 천왕동 24-2,204.16666666666666
286,금천교(광명시계),B-24,11,448.0,314.0,236.0,205.0,281.0,645.0,1064.0,1531.0,1583.0,1593.0,1583.0,1532.0,1446.0,1572.0,1581.0,1612.0,1653.0,1680.0,1564.0,1371.0,1095.0,955.0,789.0,585.0,37.465046,126.884245,서울시 금천구 독산동 668-54,1121.5833333333333
298,금하로(광명시계),B-25,11,229.0,146.0,109.0,89.0,143.0,324.0,659.0,924.0,970.0,1002.0,1012.0,958.0,931.0,978.0,1017.0,1061.0,1118.0,1167.0,1137.0,928.0,718.0,603.0,435.0,298.0,37.4514,126.891627,경기도 광명시 소하동 31-25,706.5
310,김포대로(개화교),B-31,11,332.0,219.0,162.0,152.0,253.0,615.0,1213.0,1504.0,1494.0,1497.0,1368.0,1302.0,1277.0,1297.0,1320.0,1394.0,1589.0,1790.0,1718.0,1306.0,997.0,884.0,750.0,499.0,37.585313,126.795571,경기도 김포시 고촌읍 전호리 436-3,1038.8333333333333
322,남부순환로(낙성대역),D-33,11,1292.0,1094.0,840.0,622.0,648.0,1105.0,1608.0,2270.0,2448.0,2446.0,2377.0,2323.0,2282.0,2336.0,2395.0,2439.0,2521.0,2457.0,2343.0,2248.0,2083.0,2057.0,1871.0,1514.0,37.477711,126.962242,서울시 관악구 봉천동 1685-32,1900.7916666666667
334,남부순환로(수서IC),D-39,11,1054.0,819.0,645.0,606.0,760.0,1211.0,1760.0,2475.0,2703.0,2711.0,2685.0,2621.0,2569.0,2704.0,2651.0,2659.0,2690.0,2651.0,2575.0,2362.0,2172.0,2182.0,1954.0,1372.0,37.495912,127.090903,서울시 강남구 일원동 3-16,2024.625
346,남부순환로(신월IC),D-19,11,988.0,723.0,579.0,538.0,806.0,2026.0,2823.0,3192.0,3216.0,3220.0,3128.0,3044.0,2986.0,3040.0,3054.0,3054.0,3070.0,3019.0,2949.0,2728.0,2510.0,2287.0,1955.0,1386.0,37.524081,126.835862,서울시 양천구 신월동 838 ,2346.7083333333335
358,남부순환로(예술의전당),D-34,11,832.0,685.0,501.0,351.0,429.0,901.0,1590.0,2338.0,2467.0,2434.0,2229.0,2056.0,2010.0,2111.0,2182.0,2248.0,2408.0,2540.0,2424.0,2108.0,1795.0,1786.0,1582.0,1128.0,37.476405,127.00445,서울시 서초구 방배동 1009-3,1713.9583333333333
370,남부순환로(화곡로입구 교차로),D-18,11,577.0,432.0,346.0,322.0,530.0,1162.0,1789.0,1977.0,2220.0,2141.0,2084.0,2074.0,1973.0,2004.0,1987.0,2014.0,2009.0,1911.0,1810.0,1701.0,1537.0,1385.0,1185.0,818.0,37.540163,126.825453,서울시 양천구 신월동 29-7,1499.5
382,남산1호터널,A-20,11,745.0,501.0,366.0,288.0,308.0,687.0,1593.0,1744.0,1946.0,1939.0,1828.0,1895.0,1804.0,1904.0,1796.0,1708.0,1609.0,1610.0,1582.0,1482.0,1483.0,1787.0,1540.0,1143.0,37.542406,127.001356,서울시 용산구 한남동 산 10-33,1387.0
394,남산2호터널,A-21,11,127.0,97.0,78.0,63.0,81.0,131.0,251.0,509.0,628.0,574.0,581.0,587.0,586.0,587.0,607.0,616.0,631.0,639.0,595.0,472.0,366.0,323.0,258.0,173.0,37.544301,126.989767,서울시 용산구 이태원동 262-35,398.3333333333333
406,남산3호터널,A-22,11,246.0,176.0,142.0,112.0,108.0,222.0,581.0,785.0,1008.0,994.0,957.0,958.0,902.0,999.0,1018.0,999.0,953.0,991.0,932.0,761.0,642.0,752.0,592.0,381.0,37.544496,126.98835,서울시 용산구 용산동2가 5-432,675.4583333333334
418,내부순환로,F-03,11,1296.0,961.0,742.0,686.0,1002.0,2479.0,3565.0,3628.0,3597.0,3698.0,3637.0,3655.0,3666.0,3638.0,3660.0,3711.0,3592.0,3550.0,3585.0,3579.0,3360.0,3263.0,2837.0,1865.0,37.608679,126.998878,서울시 성북구 정릉동 590-16,2885.5
430,노들로,D-41,11,583.0,420.0,305.0,257.0,311.0,551.0,1054.0,1483.0,1790.0,1624.0,1526.0,1458.0,1421.0,1543.0,1631.0,1691.0,1787.0,1739.0,1726.0,1559.0,1381.0,1262.0,1109.0,759.0,37.529712,126.909281,서울시 영등포구 당산동 364 ,1207.0833333333333
442,대사관로(삼청터널),A-04,11,37.0,25.0,15.0,11.0,19.0,52.0,187.0,393.0,397.0,400.0,351.0,333.0,311.0,330.0,340.0,387.0,450.0,459.0,385.0,305.0,233.0,188.0,130.0,70.0,37.596359,126.984209,서울시 성북구 성북동 산25-148,242.0
454,대학로(한국방송통신대학교),A-07,11,355.0,263.0,236.0,178.0,180.0,289.0,510.0,763.0,865.0,860.0,900.0,951.0,958.0,980.0,991.0,978.0,935.0,923.0,861.0,796.0,736.0,725.0,655.0,497.0,37.578188,127.002053,서울시 종로구 연건동 72-3,682.7083333333334
466,도봉로(도봉산역),B-01,11,381.0,294.0,228.0,234.0,296.0,551.0,915.0,1554.0,1803.0,1458.0,1340.0,1267.0,1273.0,1327.0,1361.0,1404.0,1568.0,1748.0,1727.0,1375.0,943.0,824.0,687.0,512.0,37.691792,127.045087,서울시 도봉구 도봉동 378-1,1044.5833333333333
478,도봉로(쌍문역),D-11,11,514.0,407.0,344.0,288.0,336.0,524.0,776.0,1051.0,1235.0,1172.0,1182.0,1130.0,1090.0,1127.0,1151.0,1170.0,1226.0,1196.0,1197.0,1059.0,963.0,847.0,772.0,609.0,37.645707,127.033171,서울시 도봉구 창동 650-46,890.25
490,동부간선도로,F-05,11,2120.0,1517.0,1128.0,966.0,1292.0,2674.0,3320.0,3261.0,3226.0,3244.0,3238.0,3484.0,3676.0,3649.0,3639.0,3636.0,3598.0,3244.0,3054.0,3114.0,3424.0,3522.0,3382.0,2802.0,37.568685,127.076023,서울시 동대문구 장안동 19-7,2925.4166666666665
502,동부간선도로(월계1교),D-12,11,1753.0,1274.0,985.0,893.0,1274.0,2728.0,2952.0,2835.0,2910.0,3068.0,3017.0,3016.0,3163.0,3216.0,3223.0,3255.0,3217.0,3081.0,3041.0,3071.0,3094.0,3078.0,2819.0,2314.0,37.631579,127.063432,서울시 노원구 월계동 247-17,2636.5416666666665
514,동소문로(길음교사거리),D-09,11,762.0,573.0,472.0,382.0,444.0,660.0,1002.0,1255.0,1404.0,1443.0,1489.0,1536.0,1505.0,1491.0,1492.0,1501.0,1439.0,1383.0,1309.0,1268.0,1287.0,1295.0,1182.0,936.0,37.599755,127.021693,서울시 성북구 돈암동 32-31,1146.25
526,동일로(군자교),D-07,11,808.0,694.0,529.0,417.0,437.0,737.0,1148.0,1259.0,1400.0,1467.0,1602.0,1704.0,1699.0,1739.0,1780.0,1828.0,1957.0,1997.0,1970.0,1768.0,1579.0,1485.0,1288.0,1020.0,37.553809,127.070504,서울시 성동구 송정동 83,1346.3333333333333
538,동일로(노원역),D-13,11,336.0,233.0,181.0,140.0,151.0,251.0,532.0,905.0,1052.0,1042.0,1083.0,1103.0,1064.0,1103.0,1141.0,1161.0,1185.0,1164.0,1119.0,946.0,761.0,674.0,568.0,411.0,37.652409,127.061032,서울시 노원구 상계동 729,762.75
550,동일로(의정부IC),B-02,11,523.0,381.0,291.0,278.0,402.0,946.0,1678.0,2650.0,2899.0,2572.0,2418.0,2305.0,2288.0,2376.0,2457.0,2588.0,2863.0,2895.0,2678.0,2317.0,1804.0,1473.0,1152.0,751.0,37.688571,127.055376,서울시 노원구 상계동 1311-3,1791.0416666666667
562,동작대교,C-10,11,379.0,249.0,182.0,134.0,155.0,369.0,809.0,1489.0,1881.0,1708.0,1561.0,1559.0,1475.0,1532.0,1635.0,1709.0,1903.0,1828.0,1561.0,1174.0,1016.0,975.0,758.0,532.0,37.509936,126.981814,서울시 용산구 이촌동 385,1107.2083333333333
574,동작대로(총신대입구역),D-31,11,1041.0,709.0,528.0,398.0,506.0,1102.0,1897.0,2218.0,2258.0,2357.0,2305.0,2224.0,2215.0,2209.0,2204.0,2215.0,2240.0,2096.0,2023.0,1995.0,1994.0,1970.0,1811.0,1401.0,37.494352,126.982914,서울시 서초구 방배동 1255,1746.5
