BRCT_NM,SGNG_NM,SGNG_CD,STNDD_YR,CHRR_QNTT,GKGO_QNTT,ZKVA_QNTT,AMSC_QNTT,MAPLF_TRE_QNTT,MTSQ_QNTT,STJP_QNTT,TLTR_QNTT,PINE_QNTT,KRPN_QNTT,AMSY_QNTT,HNKCP_TRE_QNTT,ACTSM_QNTT,MGLOK_QNTT,OAK_QNTT,ETC_QNTT,CHRR_GRGS_ABQNT,GKGO_GRGS_ABQNT,ZKVA_GRGS_ABQNT,AMSC_GRGS_ABQNT,MAPLF_TRE_GRGS_ABQNT,MTSQ_GRGS_ABQNT,STJP_GRGS_ABQNT,TLTR_GRGS_ABQNT,PINE_GRGS_ABQNT,KRPN_GRGS_ABQNT,CONIFER_GRGS_ABQNT,HNKCP_TRE_GRGS_ABQNT,ACTSM_GRGS_ABQNT,MGLOK_GRGS_ABQNT,OAK_GRGS_ABQNT,ETC_GRGS_ABQNT,SUM_GRGS_ABQNT
강원도,춘천시,42110,2015,5130,9325,2515,850,416,0,277,0,63,138,122,0,0,3210,0,404,137.997,330.105,84.7555,47.26,8.528,0,9.0025,0,0.283605,1.44716,0.862133333,0,0,25.1022,0,17.2104,662.5534983
강원도,원주시,42130,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,42150,2015,5515,4410,1158,472,810,490,0,438,0,0,0,0,0,3075,0,6466,148.3535,156.114,39.0246,26.2432,16.605,34.104,0,44.6322,0,0,0,0,0,24.0465,0,275.4516,764.5746
강원도,동해시,42170,2015,4113,3749,207,1439,47,1388,0,0,0,0,0,0,0,283,0,3222,110.6397,132.7146,6.9759,80.0084,0.9635,96.6048,0,0,0,0,0,0,0,2.21306,0,137.2572,567.37716
강원도,태백시,42190,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,속초시,42210,2015,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
강원도,삼척시,42230,2015,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
강원도,홍천군,42720,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,횡성군,42730,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,영월군,42750,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,평창군,42760,2015,3255,1404,10,0,128,57,0,0,0,0,0,0,0,0,0,655,87.5595,49.7016,0.337,0,2.624,3.9672,0,0,0,0,0,0,0,0,0,27.903,172.0923
강원도,정선군,42770,2015,235,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3215,0,0.2359,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5574
강원도,철원군,42780,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33722,0,0,1.33722
강원도,화천군,42790,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,양구군,42800,2015,2039,2426,133,0,822,0,0,0,0,0,0,0,0,434,0,4188,54.8491,85.8804,4.4821,0,16.851,0,0,0,0,0,0,0,0,3.39388,0,178.4088,343.86528
강원도,인제군,42810,2015,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5145,0,0,0,0,0,0,0,0,0,0,0,5.5145
강원도,고성군,42820,2015,2391,752,76,953,0,0,0,0,0,0,0,0,0,350,0,1692,64.3179,26.6208,2.5612,52.9868,0,0,0,0,0,0,0,0,0,2.737,0,72.0792,221.3029
강원도,양양군,42830,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,춘천시,42110,2016,5130,9325,2515,850,416,0,277,0,63,138,122,0,0,3210,0,404,137.997,330.105,84.7555,47.26,8.528,0,9.0025,0,0.283605,1.44716,0.862133333,0,0,25.1022,0,17.2104,662.5534983
강원도,원주시,42130,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,42150,2016,5515,4410,1158,472,810,490,0,438,0,0,0,0,0,3199,0,6500,148.3535,156.114,39.0246,26.2432,16.605,34.104,0,44.6322,0,0,0,0,0,25.01618,0,276.9,766.99268
강원도,동해시,42170,2016,4429,3852,207,1439,124,1218,0,0,0,0,0,0,0,283,0,3613,119.1401,136.3608,6.9759,80.0084,2.542,84.7728,0,0,0,0,0,0,0,2.21306,0,153.9138,585.92686
강원도,태백시,42190,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,속초시,42210,2016,3440,3271,44,291,229,0,80,0,0,0,188,0,0,1246,0,3180,92.536,115.7934,1.4828,16.1796,4.6945,0,2.6,0,0,0,1.328533333,0,0,9.74372,0,135.468,379.8265533
강원도,삼척시,42230,2016,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
