,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소
0,가양대교,C-03,1,747.0,539.0,386.0,409.0,514.0,1053.0,1857.0,2019.0,2754.0,2864.0,2934.0,2988.0,2983.0,3036.0,3024.0,3129.0,3356.0,3177.0,2457.0,2415.0,2379.0,2437.0,1663.0,1005.0,37.571567,126.862726,서울시 마포구 상암동 506-68
1,가양대교,C-03,2,817.0,559.0,415.0,417.0,525.0,1082.0,1836.0,2273.0,2899.0,3047.0,3078.0,3096.0,3088.0,3139.0,3167.0,3224.0,3373.0,3416.0,2541.0,2398.0,2447.0,2489.0,1994.0,1231.0,37.571567,126.862726,서울시 마포구 상암동 506-68
2,가양대교,C-03,3,905.0,635.0,475.0,460.0,627.0,1390.0,2369.0,2813.0,3095.0,3121.0,3077.0,3076.0,3050.0,3144.0,3152.0,3239.0,3428.0,3502.0,3049.0,2570.0,2505.0,2484.0,2310.0,1404.0,37.571567,126.862726,서울시 마포구 상암동 506-68
3,가양대교,C-03,4,985.0,674.0,511.0,503.0,694.0,1622.0,2736.0,2811.0,3112.0,3119.0,3055.0,3031.0,3045.0,3127.0,3159.0,3242.0,3431.0,3476.0,3312.0,2658.0,2590.0,2604.0,2447.0,1551.0,37.571567,126.862726,서울시 마포구 상암동 506-68
4,가양대교,C-03,5,980.0,676.0,478.0,470.0,665.0,1674.0,2536.0,2563.0,2817.0,2944.0,2891.0,2887.0,2923.0,3007.0,3040.0,3092.0,3271.0,3317.0,3162.0,2716.0,2447.0,2497.0,2309.0,1468.0,37.571567,126.862726,서울시 마포구 상암동 506-68
5,가양대교,C-03,6,1014.0,704.0,516.0,503.0,736.0,1853.0,2727.0,2782.0,3058.0,3112.0,3003.0,2972.0,2981.0,3093.0,3121.0,3203.0,3346.0,3375.0,3264.0,2902.0,2533.0,2583.0,2432.0,1571.0,37.571567,126.862726,서울시 마포구 상암동 506-68
6,가양대교,C-03,7,976.0,683.0,499.0,512.0,785.0,1808.0,2768.0,2796.0,3094.0,3183.0,3128.0,3080.0,3093.0,3167.0,3192.0,3275.0,3386.0,3396.0,3216.0,2903.0,2598.0,2538.0,2311.0,1437.0,37.571567,126.862726,서울시 마포구 상암동 506-68
7,가양대교,C-03,8,934.0,656.0,478.0,506.0,740.0,1640.0,2671.0,2678.0,2990.0,3085.0,3093.0,3043.0,3042.0,3111.0,3156.0,3254.0,3334.0,3346.0,3228.0,2884.0,2706.0,2627.0,2242.0,1383.0,37.571567,126.862726,서울시 마포구 상암동 506-68
8,가양대교,C-03,9,953.0,674.0,499.0,507.0,738.0,1564.0,2484.0,2653.0,2892.0,2978.0,2957.0,2887.0,2892.0,2993.0,3031.0,3130.0,3274.0,3223.0,2920.0,2685.0,2649.0,2585.0,2228.0,1424.0,37.571567,126.862726,서울시 마포구 상암동 506-68
9,가양대교,C-03,10,1042.0,730.0,555.0,538.0,798.0,1704.0,2566.0,2678.0,2929.0,3039.0,3021.0,2920.0,2929.0,2996.0,3051.0,3191.0,3293.0,3196.0,2837.0,2791.0,2641.0,2554.0,2364.0,1531.0,37.571567,126.862726,서울시 마포구 상암동 506-68
