,구,월,시,환경지수
0,강남구,1,0,36.45341482103999
1,강남구,1,1,34.23493086881386
2,강남구,1,2,34.97110033413211
3,강남구,1,3,33.041065317849714
4,강남구,1,4,33.51569134118181
5,강남구,1,5,32.27689135276513
6,강남구,1,6,34.103594710741795
7,강남구,1,7,34.15646622470579
8,강남구,1,8,35.93619591318789
9,강남구,1,9,37.02750832258765
10,강남구,1,10,38.13205271031282
11,강남구,1,11,35.22261199185789
12,강남구,1,12,36.31214032441051
13,강남구,1,13,35.74214369603544
14,강남구,1,14,37.06317989262309
15,강남구,1,15,35.417601435678236
16,강남구,1,16,36.512696846316736
17,강남구,1,17,36.956046457552596
18,강남구,1,18,37.36186211221248
19,강남구,1,19,35.850561151469385
20,강남구,1,20,36.55214940261114
21,강남구,1,21,36.06286735718815
22,강남구,1,22,37.37878831128259
23,강남구,1,23,36.20096428653902
24,강남구,2,0,46.57689193220203
25,강남구,2,1,44.35304448551682
26,강남구,2,2,44.768402886997464
27,강남구,2,3,43.275407132493356
28,강남구,2,4,43.88703411253889
29,강남구,2,5,42.03385233001826
30,강남구,2,6,43.618032437668745
31,강남구,2,7,42.66557352447917
32,강남구,2,8,44.54093228242074
33,강남구,2,9,43.515524206453186
34,강남구,2,10,43.976288527521604
35,강남구,2,11,43.863984717910036
36,강남구,2,12,45.8408938519584
37,강남구,2,13,44.57414020408081
38,강남구,2,14,45.4669238791984
39,강남구,2,15,45.67759299021567
40,강남구,2,16,47.5724315270056
41,강남구,2,17,46.361071358649674
42,강남구,2,18,46.7824219336903
43,강남구,2,19,45.609546681375605
44,강남구,2,20,46.83673587347793
45,강남구,2,21,45.84761345940866
46,강남구,2,22,46.649849680868684
47,강남구,2,23,44.81227299669428
48,강남구,3,0,50.79494142645051
49,강남구,3,1,47.9855483738552
50,강남구,3,2,50.76083020970944
51,강남구,3,3,50.43891002517084
52,강남구,3,4,51.208782227231296
53,강남구,3,5,49.87056680173579
54,강남구,3,6,51.292285152978856
55,강남구,3,7,50.755787772117706
56,강남구,3,8,53.888041676690534
57,강남구,3,9,55.053924636433344
58,강남구,3,10,56.16639489054346
59,강남구,3,11,53.69765885227069
60,강남구,3,12,53.35116106797769
61,강남구,3,13,50.30067699068147
62,강남구,3,14,49.474915192948295
63,강남구,3,15,47.96948066712313
64,강남구,3,16,49.315794807364576
65,강남구,3,17,48.8332282370026
66,강남구,3,18,51.14175425892934
67,강남구,3,19,49.272674973878026
68,강남구,3,20,50.91065168489307
69,강남구,3,21,50.023362796459026
70,강남구,3,22,51.1646076194898
71,강남구,3,23,50.69681038251469
72,강남구,4,0,37.37233873248572
73,강남구,4,1,35.86563673365117
74,강남구,4,2,36.037399945571906
75,강남구,4,3,35.15522843729779
76,강남구,4,4,35.63635239428328
77,강남구,4,5,34.714971828095116
78,강남구,4,6,36.283175064647885
79,강남구,4,7,36.386416389272526
80,강남구,4,8,38.37382899410866
81,강남구,4,9,38.54748539396747
82,강남구,4,10,39.74025816220339
83,강남구,4,11,39.04668952283238
84,강남구,4,12,39.51696714877844
85,강남구,4,13,38.17247570017949
86,강남구,4,14,39.219048544159264
87,강남구,4,15,39.26670667963865
88,강남구,4,16,41.87671909624327
89,강남구,4,17,41.529849960397996
90,강남구,4,18,42.06034695993451
91,강남구,4,19,40.844802142909636
92,강남구,4,20,40.149236186390915
93,강남구,4,21,38.33717676759177
94,강남구,4,22,38.84888729906088
95,강남구,4,23,37.65861885329961
96,강남구,5,0,40.209832233812044
97,강남구,5,1,37.15512993252282
98,강남구,5,2,36.91159351521802
99,강남구,5,3,35.40804767106798
100,강남구,5,4,36.05938494760614
101,강남구,5,5,35.744121902509676
102,강남구,5,6,35.85593555772822
103,강남구,5,7,34.876260697221184
104,강남구,5,8,35.77956298238215
105,강남구,5,9,35.100640699495244
106,강남구,5,10,36.74862012167586
107,강남구,5,11,37.312157719746146
108,강남구,5,12,38.21447270524154
109,강남구,5,13,39.78270147312363
110,강남구,5,14,41.63740136885731
111,강남구,5,15,42.80323168648245
112,강남구,5,16,44.15509362435273
113,강남구,5,17,42.509836475227395
114,강남구,5,18,43.07596710261617
115,강남구,5,19,43.64259565263613
116,강남구,5,20,43.815816060152024
117,강남구,5,21,42.89508277978885
118,강남구,5,22,42.571106682667214
119,강남구,5,23,41.003355401311815
120,강남구,6,0,36.51641692163136
121,강남구,6,1,34.11955798092704
122,강남구,6,2,34.26352343491711
123,강남구,6,3,32.51082905627784
124,강남구,6,4,32.45598585136018
