,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
100,서울특별시,종로구,11110,2019,421,4072,619,1071,0,1,140,0,239,0,17,0,0,711,0,59,11.3518,144.255,23.5226,59.3252,0.164,0.0,4.68,0.0,1.201945,0.0,0.091866667,0.0,0.0,5.7086,0.0,1.278,251.5790117
101,서울특별시,중구,11140,2019,289,3640,460,162,0,0,176,7,2162,0,0,0,0,470,0,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,서울특별시,용산구,11170,2019,262,4444,373,1422,80,0,37,13,51,0,16,0,0,198,0,916,7.0209,154.9812,15.8727,75.894,2.1115,0.0,1.3325,1.2228,0.229585,0.0,0.113066667,0.0,0.0,1.57964,0.013948333,39.192,299.56384
103,서울특별시,성동구,11200,2019,602,1090,1975,2401,36,48,325,0,53,0,1,0,0,709,0,698,16.1938,36.7098,64.2322,116.8712,4.469,3.3408,9.555,0.0,0.0,0.0,0.007066667,0.0,0.0,7.39772,0.0,30.4164,289.1929867
104,서울특별시,광진구,11215,2019,940,1247,1057,2306,0,0,153,58,20,0,101,0,0,760,0,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,서울특별시,동대문구,11230,2019,747,3749,855,3342,232,60,143,37,0,0,19,0,0,1176,0,522,20.0943,136.9626,28.6113,178.754,4.756,4.3152,4.6475,3.7703,0.0,0.0,0.134266667,0.0,0.0,9.37618,0.0,21.3426,412.7642467
106,서울특별시,중랑구,11260,2019,354,2774,471,2759,401,74,0,0,64,0,0,0,0,449,0,1019,12.4009,97.881,11.7276,138.0548,8.118,5.1504,0.0,0.0,0.288106667,0.0,0.0,0.0,0.0,5.15338,0.0,43.452,322.2261867
107,서울특별시,성북구,11290,2019,1656,2722,1014,1282,121,65,38,4,97,0,0,0,0,853,16,419,47.2633,889.7082,33.7,66.0528,6.396,4.524,1.235,0.4076,0.40515,0.0,0.0,0.0,0.0,8.11716,0.223173333,18.9144,1076.946783
108,서울특별시,강북구,11305,2019,497,3510,324,934,318,0,103,5,1007,94,0,0,0,575,0,422,13.3424,108.5718,10.8514,48.8168,6.3345,0.0,3.0875,0.5095,4.569191667,0.985746667,0.0,0.0,0.0,5.02826,0.0,17.9772,220.0742983
109,서울특별시,도봉구,11320,2019,2095,4914,779,323,6,61,32,15,15,0,0,0,0,47,0,1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
