,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
0,서울특별시,종로구,11110,2015,444,5349,675,1342,11,32,130,4,285,0,18,0,0,90,0,548,11.9436,189.3546,22.7475,74.6152,0.2255,2.2272,4.225,0.4076,1.282975,0.0,0.1272,0.0,0.0,0.7038,0.0,23.3448,331.204975
1,서울특별시,중구,11140,2015,271,4009,430,232,0,0,256,9,2084,0,0,0,0,392,0,326,7.2899,141.9186,14.491,12.8992,0.0,0.0,8.32,0.9171,9.381473333,0.0,0.0,0.0,0.0,3.06544,0.0,13.8876,212.1703133
2,서울특별시,용산구,11170,2015,252,4538,279,1519,0,0,40,13,52,0,16,0,0,199,0,1013,6.7788,160.6452,9.4023,84.4564,0.0,0.0,1.3,1.3247,0.234086667,0.0,0.113066667,0.0,0.0,1.55618,0.0,43.1538,308.9645333
3,서울특별시,성동구,11200,2015,386,1137,1961,2674,29,49,470,0,53,0,1,0,0,297,0,378,10.3834,40.2498,66.0857,148.6744,0.5945,3.4104,15.275,0.0,0.238588333,0.0,0.007066667,0.0,0.0,2.32254,0.0,16.1028,303.344195
4,서울특별시,광진구,11215,2015,554,1578,975,2544,2,0,156,75,20,0,64,0,0,619,0,561,14.9026,55.8612,32.8575,141.4464,0.041,0.0,5.07,7.6425,0.090033333,0.0,0.452266667,0.0,0.0,4.84058,0.0,23.8986,287.10268
5,서울특별시,동대문구,11230,2015,762,3762,890,3876,264,60,148,43,0,0,19,0,0,444,0,489,20.4978,133.1748,29.993,215.5056,5.412,4.176,4.81,4.3817,0.0,0.0,0.134266667,0.0,0.0,3.47208,0.0,20.8314,442.3886467
6,서울특별시,중랑구,11260,2015,295,2912,341,2828,472,219,1,0,6,0,82,0,0,167,0,796,7.9355,103.0848,11.4917,157.2368,9.676,15.2424,0.0325,0.0,0.02701,0.0,0.579466667,0.0,0.0,1.30594,0.0,33.9096,340.5217167
7,서울특별시,성북구,11290,2015,1645,2751,825,1615,109,65,38,4,99,0,0,0,0,495,16,1170,44.2505,97.3854,27.8025,89.794,2.2345,4.524,1.235,0.4076,0.445665,0.0,0.0,0.0,0.0,3.8709,0.223173333,49.842,322.0152383
8,서울특별시,강북구,11305,2015,497,3378,225,997,326,0,127,5,980,95,0,0,0,470,0,393,13.3693,119.5812,7.5825,55.4332,6.683,0.0,4.1275,0.5095,4.411633333,0.996233333,0.0,0.0,0.0,3.6754,0.0,16.7418,233.1112667
9,서울특별시,도봉구,11320,2015,1945,4992,788,600,6,61,32,18,15,0,0,0,0,47,0,976,52.3205,176.7168,26.5556,33.36,0.123,4.2456,1.04,1.8342,0.067525,0.0,0.0,0.0,0.0,0.36754,0.0,41.5776,338.208365
