,index,대여소 그룹,대여 일자 / 월,대여 건수,연도,월,위도,경도
0,0,강남구,202101,24706,2021,1,37.5173319258532,127.047377408384
1,1,강동구,202101,26158,2021,1,37.5301933196159,127.123792501252
2,2,강북구,202101,16101,2021,1,37.6397513275882,127.025538071854
3,3,강서구,202101,75019,2021,1,37.5509646154244,126.849533759514
4,4,관악구,202101,27457,2021,1,37.4783683761333,126.951561853868
5,5,광진구,202101,38357,2021,1,37.5385583136667,127.082385189457
6,6,구로구,202101,31633,2021,1,37.4954330863648,126.88750531451
7,7,금천구,202101,13494,2021,1,37.4568411485785,126.895456780023
8,8,노원구,202101,41994,2021,1,37.6543617567057,127.056430475216
9,9,도봉구,202101,16620,2021,1,37.6686914100284,127.04721049936
10,10,동대문구,202101,33426,2021,1,37.5745229817122,127.039657001091
11,11,동작구,202101,18950,2021,1,37.5124820423519,126.93931505634
12,12,마포구,202101,48660,2021,1,37.5662141900954,126.901955141101
13,13,서대문구,202101,23065,2021,1,37.579161863979,126.9368156604
14,14,서초구,202101,29483,2021,1,37.483588810333,127.032734543897
15,15,성동구,202101,35822,2021,1,37.563427205337,127.036930141185
16,16,성북구,202101,26138,2021,1,37.5893588153919,127.016702905651
17,17,송파구,202101,54819,2021,1,37.51458371944,127.10591770866
18,18,양천구,202101,43330,2021,1,37.5169884752609,126.866501409661
19,19,영등포구,202101,64359,2021,1,37.5263635705036,126.896273923703
20,20,용산구,202101,18203,2021,1,37.5324274347658,126.990577820242
21,21,은평구,202101,25442,2021,1,37.6028174370823,126.928940981464
22,23,종로구,202101,35643,2021,1,37.5735042429813,126.978989954189
23,24,중구,202101,20396,2021,1,37.5638077703601,126.997555182293
24,25,중랑구,202101,22773,2021,1,37.6065432383919,127.092820287004
25,26,강남구,202102,38697,2021,2,37.5173319258532,127.047377408384
26,27,강남구,202103,67383,2021,3,37.5173319258532,127.047377408384
27,28,강남구,202104,100159,2021,4,37.5173319258532,127.047377408384
28,29,강남구,202105,89962,2021,5,37.5173319258532,127.047377408384
29,30,강남구,202106,99731,2021,6,37.5173319258532,127.047377408384
30,31,강동구,202102,43243,2021,2,37.5301933196159,127.123792501252
31,32,강동구,202103,77624,2021,3,37.5301933196159,127.123792501252
32,33,강동구,202104,110544,2021,4,37.5301933196159,127.123792501252
33,34,강동구,202105,112206,2021,5,37.5301933196159,127.123792501252
34,35,강동구,202106,143699,2021,6,37.5301933196159,127.123792501252
35,36,강북구,202102,23351,2021,2,37.6397513275882,127.025538071854
36,37,강북구,202103,40751,2021,3,37.6397513275882,127.025538071854
37,38,강북구,202104,57234,2021,4,37.6397513275882,127.025538071854
38,39,강북구,202105,55184,2021,5,37.6397513275882,127.025538071854
39,40,강북구,202106,63684,2021,6,37.6397513275882,127.025538071854
40,41,강서구,202102,108020,2021,2,37.5509646154244,126.849533759514
41,42,강서구,202103,205079,2021,3,37.5509646154244,126.849533759514
42,43,강서구,202104,282106,2021,4,37.5509646154244,126.849533759514
43,44,강서구,202105,289249,2021,5,37.5509646154244,126.849533759514
44,45,강서구,202106,361675,2021,6,37.5509646154244,126.849533759514
45,46,관악구,202102,38449,2021,2,37.4783683761333,126.951561853868
46,47,관악구,202103,67826,2021,3,37.4783683761333,126.951561853868
47,48,관악구,202104,97173,2021,4,37.4783683761333,126.951561853868
48,49,관악구,202105,94558,2021,5,37.4783683761333,126.951561853868
49,50,관악구,202106,112169,2021,6,37.4783683761333,126.951561853868
50,51,광진구,202102,62781,2021,2,37.5385583136667,127.082385189457
51,52,광진구,202103,109722,2021,3,37.5385583136667,127.082385189457
52,53,광진구,202104,145522,2021,4,37.5385583136667,127.082385189457
53,54,광진구,202105,139373,2021,5,37.5385583136667,127.082385189457
54,55,광진구,202106,155056,2021,6,37.5385583136667,127.082385189457
55,56,구로구,202102,46909,2021,2,37.4954330863648,126.88750531451
56,57,구로구,202103,83896,2021,3,37.4954330863648,126.88750531451
57,58,구로구,202104,119460,2021,4,37.4954330863648,126.88750531451
58,59,구로구,202105,112203,2021,5,37.4954330863648,126.88750531451
59,60,구로구,202106,130749,2021,6,37.4954330863648,126.88750531451
60,61,금천구,202102,18403,2021,2,37.4568411485785,126.895456780023
61,62,금천구,202103,34445,2021,3,37.4568411485785,126.895456780023
62,63,금천구,202104,52079,2021,4,37.4568411485785,126.895456780023
63,64,금천구,202105,46715,2021,5,37.4568411485785,126.895456780023
64,65,금천구,202106,58149,2021,6,37.4568411485785,126.895456780023
65,66,노원구,202102,61549,2021,2,37.6543617567057,127.056430475216
66,67,노원구,202103,110214,2021,3,37.6543617567057,127.056430475216
67,68,노원구,202104,161414,2021,4,37.6543617567057,127.056430475216
68,69,노원구,202105,167247,2021,5,37.6543617567057,127.056430475216
69,70,노원구,202106,200594,2021,6,37.6543617567057,127.056430475216
70,71,도봉구,202102,25857,2021,2,37.6686914100284,127.04721049936
71,72,도봉구,202103,45424,2021,3,37.6686914100284,127.04721049936
72,73,도봉구,202104,65248,2021,4,37.6686914100284,127.04721049936
73,74,도봉구,202105,65908,2021,5,37.6686914100284,127.04721049936
74,75,도봉구,202106,78810,2021,6,37.6686914100284,127.04721049936
75,76,동대문구,202102,48842,2021,2,37.5745229817122,127.039657001091
76,77,동대문구,202103,86130,2021,3,37.5745229817122,127.039657001091
77,78,동대문구,202104,113610,2021,4,37.5745229817122,127.039657001091
78,79,동대문구,202105,111375,2021,5,37.5745229817122,127.039657001091
79,80,동대문구,202106,130793,2021,6,37.5745229817122,127.039657001091
80,81,동작구,202102,29501,2021,2,37.5124820423519,126.93931505634
81,82,동작구,202103,53124,2021,3,37.5124820423519,126.93931505634
82,83,동작구,202104,75191,2021,4,37.5124820423519,126.93931505634
83,84,동작구,202105,71687,2021,5,37.5124820423519,126.93931505634
84,85,동작구,202106,80576,2021,6,37.5124820423519,126.93931505634
85,86,마포구,202102,75510,2021,2,37.5662141900954,126.901955141101
86,87,마포구,202103,130789,2021,3,37.5662141900954,126.901955141101
87,88,마포구,202104,179715,2021,4,37.5662141900954,126.901955141101
88,89,마포구,202105,173092,2021,5,37.5662141900954,126.901955141101
89,90,마포구,202106,195893,2021,6,37.5662141900954,126.901955141101
90,91,서대문구,202102,31761,2021,2,37.579161863979,126.9368156604
91,92,서대문구,202103,58097,2021,3,37.579161863979,126.9368156604
92,93,서대문구,202104,74666,2021,4,37.579161863979,126.9368156604
93,94,서대문구,202105,70235,2021,5,37.579161863979,126.9368156604
94,95,서대문구,202106,81990,2021,6,37.579161863979,126.9368156604
95,96,서초구,202102,46859,2021,2,37.483588810333,127.032734543897
96,97,서초구,202103,80044,2021,3,37.483588810333,127.032734543897
97,98,서초구,202104,119098,2021,4,37.483588810333,127.032734543897
98,99,서초구,202105,108118,2021,5,37.483588810333,127.032734543897
99,100,서초구,202106,116638,2021,6,37.483588810333,127.032734543897
100,101,성동구,202102,57634,2021,2,37.563427205337,127.036930141185
101,102,성동구,202103,96024,2021,3,37.563427205337,127.036930141185
